"species","colour","cluster","cluster_int","cluster_name"
"Bryopsis.plumosa","#00A0D6","I",9,"Zone4_I"
"Furcellaria.lumbricalis","#00A0D6","I",9,"Zone4_I"
"Saccharina.latissima","#00A0D6","I",9,"Zone4_I"
"Eteone.longa","#00A0D6","I",9,"Zone4_I"
"Membranoptera.alata","#00A0D6","I",9,"Zone4_I"
"Ceramium.virgatum","#00A0D6","I",9,"Zone4_I"
"Rhodomela.confervoides","#00A0D6","I",9,"Zone4_I"
"Bryopsis.hypnoides","#00A0D6","I",9,"Zone4_I"
"Chaetomorpha.melagonium","#00A0D6","I",9,"Zone4_I"
"Callithamnion.corymbosum","#00A0D6","I",9,"Zone4_I"
"Cystoclonium.purpureum","#00A0D6","I",9,"Zone4_I"
"Polysiphonia.stricta","#00A0D6","I",9,"Zone4_I"
"Coccotylus.Phyllophora","#00A0D6","I",9,"Zone4_I"
"Delesseria.sanguinea","#00A0D6","I",9,"Zone4_I"
"Polyides.rotunda","#00A0D6","I",9,"Zone4_I"
"Phycodrys.rubens","#00A0D6","I",9,"Zone4_I"
"Sphacelaria.cirrosa","#00A0D6","I",9,"Zone4_I"
"Leathesia.marina","#00A0D6","I",9,"Zone4_I"
"Bonnemaisonia.hamifera","#00A0D6","I",9,"Zone4_I"
"Desmarestia.viridis","#00A0D6","I",9,"Zone4_I"
"Vertebrata.byssoides","#00A0D6","I",9,"Zone4_I"
"Erythrotrichia.carnea","#00AD7F","H",8,"Zone4_H"
"Aglaothamnion.tenuissimum","#00AD7F","H",8,"Zone4_H"
"Rhodochorton.purpureum","#00AD7F","H",8,"Zone4_H"
"Sphaceloderma.caespitulum","#00AD7F","H",8,"Zone4_H"
"Nephtys.caeca","#00AD7F","H",8,"Zone4_H"
"Scoloplos.armiger","#00AD7F","H",8,"Zone4_H"
"Odonthalia.dentata","#00AD7F","H",8,"Zone4_H"
"Laminaria.digitata","#00AD7F","H",8,"Zone4_H"
"Desmarestia.aculeata","#00AD7F","H",8,"Zone4_H"
"Palmaria.palmata","#00AD7F","H",8,"Zone4_H"
"Tubulanus.polymorphus","#00AD7F","H",8,"Zone4_H"
"Echinocyamus.pusillus","#00AD7F","H",8,"Zone4_H"
"Eucratea.loricata","#00AD7F","H",8,"Zone4_H"
"Perioculodes.longimanus","#00AD7F","H",8,"Zone4_H"
"Echinocardium.cordatum","#00AD7F","H",8,"Zone4_H"
"Tellimya.ferruginosa","#00AD7F","H",8,"Zone4_H"
"Poecilochaetus.serpens","#00AD7F","H",8,"Zone4_H"
"Thracia.phaseolina","#00AD7F","H",8,"Zone4_H"
"Pterothamnion.plumula","#00AD7F","H",8,"Zone4_H"
"Ampelisca.brevicornis","#00AD7F","H",8,"Zone4_H"
"Chamelea.gallina","#00AD7F","H",8,"Zone4_H"
"Erythrodermis.traillii","#00AD7F","H",8,"Zone4_H"
"Rubrointrusa.membranacea","#00AD7F","H",8,"Zone4_H"
